#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
50,"Ean
                                                                        DiPasquale",Ean DiPasquale,Clinton LumberKings,0.987,Western,Northwest,CLN,Ean DiPasquale (CLN),Fr,RHP,54,No*,11,3,4,0,1,0,41.67,151,28,6.05,6,6,8,1.73,40,8.64,5,1.3,0.86,4.11,-2.81,437,23,1,1,0,0,0,20,4,1,3,43,0.185,0.231,0.285,0.516
2,"Bryce
                                                                        Louis",Bryce Louis,Alton River Dragons,1.06,Western,South,ALT,Bryce Louis (ALT),So,RHP,53,No*,13,4,3,2,1,0,41,145,33,7.24,17,14,13,2.85,33,7.24,2.54,3.07,1.12,4.33,-1.26,199,50,1,3,2,6,0,17,13,2,1,53,0.228,0.293,0.366,0.659
36,"Will
                                                                        Rettig",Will Rettig,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Will Rettig (CHI),So,RHP,56,No*,11,7,5,2,1,0,41,152,31,6.8,26,17,15,3.29,37,8.12,2.47,3.73,1.12,4.82,-1.09,214,40,4,6,0,1,0,24,4,1,2,43,0.204,0.299,0.283,0.582
25,"Owen
                                                                        Clark",Owen Clark,Cape Catfish,1.049,Western,South,CGR,Owen Clark (CGR),Jr,LHP,55,No*,10,8,2,3,0,0,41,158,35,7.68,14,13,21,4.61,50,10.98,2.38,2.85,1.37,3.91,-1.06,212,47,15,5,1,0,0,29,6,0,0,41,0.222,0.332,0.259,0.591
39,"Elijah
                                                                        Griffith",Elijah Griffith,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Elijah Griffith (LAF),Fr,RHP,56,No*,10,8,2,4,0,1,41,164,43,9.44,34,25,20,4.39,27,5.93,1.35,5.49,1.54,5.84,-0.35,112,89,4,4,0,3,0,25,12,3,3,70,0.262,0.351,0.427,0.778
21,"Coley
                                                                        Stevens",Coley Stevens,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Coley Stevens (LAF),Jr,RHP,56,No*,12,7,4,3,0,0,41,165,50,10.98,20,18,11,2.41,32,7.02,2.91,3.95,1.49,4.45,-0.5,156,64,1,6,0,0,0,37,10,2,1,67,0.303,0.368,0.406,0.774
31,"Arren
                                                                        Hash",Arren Hash,Full Count Rhythm,1.031,Eastern,Central,FCR,Arren Hash (FCR),Jr,RHP,55,No*,13,4,3,3,1,0,40.67,167,49,10.84,30,19,12,2.66,40,8.85,3.33,4.2,1.5,4.55,-0.35,141,71,4,3,0,3,0,37,8,1,3,68,0.293,0.346,0.407,0.753
18,"Gavin
                                                                        Kinworthy",Gavin Kinworthy,Alton River Dragons,1.06,Western,South,ALT,Gavin Kinworthy (ALT),Jr,RHP,53,No*,9,7,3,2,0,0,40.33,148,36,8.03,20,19,19,4.24,20,4.46,1.05,4.24,1.36,5.74,-1.5,144,69,2,3,2,1,0,21,13,0,2,55,0.243,0.339,0.372,0.711
29,"David
                                                                        Theriot, Jr.","David Theriot, Jr.",Burlington Bees,1.081,Western,Northwest,BRL,"David Theriot, Jr. (BRL)",Sr,RHP,56,No*,11,6,3,3,0,1,40.33,164,44,9.82,28,17,20,4.46,37,8.26,1.85,3.79,1.59,5.17,-1.38,164,61,3,10,1,0,0,33,10,0,1,57,0.268,0.381,0.348,0.729
45,"Evan
                                                                        Cooke",Evan Cooke,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Evan Cooke (LAF),Fr,RHP,56,No*,10,7,4,2,0,0,40.33,147,35,7.81,31,29,33,7.36,43,9.6,1.3,6.47,1.69,5.22,1.25,95,105,4,6,1,2,2,23,11,1,0,48,0.238,0.394,0.327,0.72
