#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
9,"Raymond
                                                                        Ochoa",Raymond Ochoa,Cape Catfish,1.049,Western,South,CGR,Raymond Ochoa (CGR),Jr,RHP,55,No,11,5,1,3,1,0,29.33,119,34,10.43,27,24,16,4.91,46,14.11,2.88,7.36,1.7,4.04,3.32,82,122,5,2,1,2,1,20,10,2,2,54,0.286,0.374,0.454,0.828
20,"Tyler
                                                                        Moniz-Witten",Tyler Moniz-Witten,REX Baseball,1.071,Eastern,Central,TER,Tyler Moniz-Witten (TER),Jr,RHP,55,No,15,1,0,0,1,0,29.33,104,24,7.36,7,6,11,3.38,20,6.14,1.82,1.84,1.19,5.81,-3.97,335,30,0,7,0,0,2,19,3,0,2,33,0.231,0.344,0.317,0.662
12,"Nathaniel
                                                                        Helton",Nathaniel Helton,Jackson Rockabillys,0.871,Western,South,JAX,Nathaniel Helton (JAX),So,RHP,55,No,17,2,1,1,0,0,29.33,123,35,10.74,34,27,21,6.44,31,9.51,1.48,8.28,1.91,8.27,0.01,61,162,6,11,0,2,0,23,5,1,6,60,0.285,0.427,0.488,0.915
90,"Jacob
                                                                        Zahner",Jacob Zahner,Burlington Bees,1.081,Western,Northwest,BRL,Jacob Zahner (BRL),Fr,RHP,56,No,7,7,1,3,0,0,29,118,33,10.24,23,19,17,5.28,14,4.34,0.82,5.9,1.72,5.66,0.24,105,94,3,4,0,0,0,25,7,1,0,42,0.28,0.388,0.356,0.744
39,"Nick
                                                                        Judd",Nick Judd,Full Count Rhythm,1.031,Eastern,Central,FCR,Nick Judd (FCR),So,RHP,55,No,12,5,2,4,0,0,29,116,31,9.62,27,15,12,3.72,32,9.93,2.67,4.66,1.48,4.69,-0.03,127,79,4,3,0,2,1,21,7,1,2,46,0.267,0.346,0.397,0.742
13,"Hunter
                                                                        Niksch",Hunter Niksch,Dubois County Bombers,0.908,Eastern,Central,DUB,Hunter Niksch (DUB),So,RHP,54,No,8,6,1,4,0,0,28.67,115,26,8.16,23,17,18,5.65,19,5.97,1.06,5.34,1.53,6.09,-0.75,98,101,8,6,1,0,0,18,5,2,1,38,0.226,0.36,0.33,0.69
99,"Slater
                                                                        Wilcox",Slater Wilcox,Normal CornBelters,0.884,Eastern,Central,NOR,Slater Wilcox (NOR),Fr,RHP,54,No,7,7,2,1,0,0,28.67,110,27,8.48,21,19,20,6.28,33,10.36,1.65,5.97,1.64,7.03,-1.06,85,116,4,5,0,1,0,17,5,0,5,47,0.245,0.382,0.427,0.81
11,"Joseph
                                                                        Martin",Joseph Martin,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Joseph Martin (IVY),Fr,RHP,56,No,9,7,3,0,0,0,28.67,108,21,6.59,19,14,19,5.96,32,10.05,1.68,4.4,1.4,5.74,-1.34,142,70,2,6,0,0,0,14,5,0,2,32,0.194,0.346,0.296,0.642
22,"Jared
                                                                        Herzog",Jared Herzog,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Jared Herzog (IVY),Sr,LHP,56,No,10,5,4,0,0,0,28.67,97,14,4.39,7,7,16,5.02,48,15.07,3,2.2,1.05,4.35,-2.15,285,35,1,2,0,0,1,11,0,0,3,23,0.144,0.278,0.237,0.515
29,"Korey
                                                                        Bunselmeyer",Korey Bunselmeyer,Cape Catfish,1.049,Western,South,CGR,Korey Bunselmeyer (CGR),Sr,RHP,55,No,12,1,4,1,1,0,28.33,109,32,10.17,18,16,11,3.49,33,10.48,3,5.08,1.52,4.24,0.84,119,84,2,9,0,1,0,29,2,1,0,36,0.294,0.4,0.33,0.73
35,"Dylan
                                                                        Peck",Dylan Peck,Cape Catfish,1.049,Western,South,CGR,Dylan Peck (CGR),So,RHP,55,No,6,5,4,0,0,2,28.33,98,16,5.08,6,6,10,3.18,28,8.89,2.8,1.91,0.92,4.56,-2.65,316,32,2,1,0,0,0,12,2,0,2,24,0.163,0.248,0.245,0.493
23,"Eric
                                                                        Tenery",Eric Tenery,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Eric Tenery (LAF),Fr,LHP,56,No,10,5,1,2,1,0,28.33,115,36,11.44,24,21,10,3.18,24,7.62,2.4,6.67,1.62,5.86,0.81,92,108,3,2,0,0,2,22,6,4,4,62,0.313,0.378,0.539,0.917
99,"Anthony
                                                                        Solis",Anthony Solis,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Anthony Solis (IVY),Fr,RHP,56,No,8,4,3,3,0,0,28.33,107,24,7.62,15,8,12,3.81,35,11.12,2.92,2.54,1.27,4.38,-1.84,247,40,3,2,2,0,0,17,5,0,2,35,0.224,0.314,0.327,0.641
99,"Sam
                                                                        George",Sam George,Clinton LumberKings,0.987,Western,Northwest,CLN,Sam George (CLN),Fr,LHP,54,No,6,6,1,2,0,0,28,112,31,9.96,11,8,11,3.54,34,10.93,3.09,2.57,1.5,4.09,-1.52,221,45,1,4,0,0,0,26,4,0,1,38,0.277,0.362,0.339,0.701
2,"Riley
                                                                        Niggemeyer",Riley Niggemeyer,Champion City Kings,0.956,Eastern,Northeast,CCY,Riley Niggemeyer (CCY),Fr,LHP,56,No,14,2,0,3,0,0,27.67,135,55,17.89,42,35,13,4.23,20,6.51,1.54,11.39,2.46,6.11,5.28,48,207,9,7,0,2,1,46,6,1,2,69,0.407,0.478,0.511,0.989
21,"Walker
                                                                        Brodt",Walker Brodt,Cape Catfish,1.049,Western,South,CGR,Walker Brodt (CGR),Fr,RHP,55,No,18,0,2,3,5,0,27.67,107,28,9.11,14,10,13,4.23,32,10.41,2.46,3.25,1.48,4.34,-1.09,186,54,5,3,0,0,1,19,7,1,1,40,0.262,0.358,0.374,0.732
45,"Joe
                                                                        Richardson",Joe Richardson,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Joe Richardson (IVY),Fr,LHP,56,No,12,2,1,1,3,0,27.67,105,26,8.46,12,11,12,3.9,19,6.18,1.58,3.58,1.37,6.11,-2.53,175,57,0,3,0,0,1,21,2,0,3,37,0.248,0.342,0.352,0.694
12,"Matthew
                                                                        Benton",Matthew Benton,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Matthew Benton (JNT),Jr,RHP,56,No,18,0,2,1,1,0,27.33,106,32,10.54,24,20,19,6.26,17,5.6,0.89,6.59,1.87,6.68,-0.09,76,129,3,4,0,2,1,23,6,1,2,46,0.302,0.42,0.434,0.854
99,"Dylan
                                                                        Zentko",Dylan Zentko,REX Baseball,1.071,Eastern,Central,TER,Dylan Zentko (TER),So,LHP,55,No,8,5,1,2,0,0,27.33,98,17,5.6,9,8,10,3.29,39,12.84,3.9,2.63,0.99,4.78,-2.15,234,42,1,6,0,0,0,11,3,0,3,29,0.173,0.289,0.296,0.585
20,"Joe
                                                                        Stone",Joe Stone,Champion City Kings,0.956,Eastern,Northeast,CCY,Joe Stone (CCY),Fr,RHP,56,No,20,0,2,4,4,0,27,110,37,12.33,23,17,6,2,27,9,4.5,5.67,1.59,3.78,1.89,97,103,3,6,0,3,3,31,6,0,0,43,0.336,0.392,0.391,0.783
0,"Scott
                                                                        Detweiler",Scott Detweiler,Alton River Dragons,1.06,Western,South,ALT,Scott Detweiler (ALT),Sr,LHP,53,No,20,0,2,1,0,0,27,111,32,10.67,24,16,27,9,16,5.33,0.59,5.33,2.19,7.34,-2.01,114,87,6,1,0,3,1,24,5,1,2,45,0.288,0.423,0.405,0.828
33,"Gabe
                                                                        Smith",Gabe Smith,Alton River Dragons,1.06,Western,South,ALT,Gabe Smith (ALT),Fr,RHP,53,No,7,6,0,0,0,0,27,99,22,7.33,11,9,11,3.67,22,7.33,2,3,1.22,5.23,-2.23,203,49,3,2,0,1,0,15,5,0,2,33,0.222,0.31,0.333,0.643
32,"Owen
                                                                        Norris",Owen Norris,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Owen Norris (LAF),Fr,LHP,56,No,13,0,0,2,1,0,27,106,26,8.67,16,15,11,3.67,23,7.67,2.09,5,1.37,5.86,-0.86,123,81,2,4,0,3,0,17,5,1,3,42,0.245,0.331,0.396,0.727
26,"Brayden
                                                                        Olson",Brayden Olson,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Brayden Olson (LAF),Fr,RHP,56,No,7,4,3,0,0,0,27,113,40,13.33,23,21,11,3.67,17,5.67,1.55,7,1.89,6.67,0.33,88,113,1,3,0,1,0,28,6,2,4,62,0.354,0.422,0.549,0.971
41,"JD
                                                                        Price",JD Price,Full Count Rhythm,1.031,Eastern,Central,FCR,JD Price (FCR),Jr,RHP,55,No,18,0,0,1,0,0,26.67,106,28,9.45,19,16,16,5.4,32,10.8,2,5.4,1.65,5.65,-0.25,110,91,2,3,0,0,1,23,2,0,3,39,0.264,0.376,0.368,0.744
21,"Kale
                                                                        Cameron",Kale Cameron,Thrillville Thrillbillies,0.966,Western,South,THR,Kale Cameron (THR),So,RHP,54,No,11,3,1,1,0,0,26.67,113,35,11.81,27,23,15,5.06,22,7.42,1.47,7.76,1.88,7.75,0.01,72,139,0,3,0,2,0,21,6,2,6,63,0.31,0.398,0.558,0.956
26,"Jack
                                                                        Duncan",Jack Duncan,Burlington Bees,1.081,Western,Northwest,BRL,Jack Duncan (BRL),Fr,RHP,56,No,15,1,0,5,5,0,26.33,109,32,10.94,22,16,22,7.52,18,6.15,0.82,5.47,2.05,6.65,-1.18,114,87,4,5,0,2,0,26,4,1,1,41,0.294,0.428,0.376,0.804
71,"Andrew
                                                                        Ressler",Andrew Ressler,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Andrew Ressler (IVY),Fr,RHP,56,No,8,0,2,1,1,0,26.33,100,27,9.23,14,9,7,2.39,19,6.49,2.71,3.08,1.29,5.02,-1.94,203,49,2,2,0,2,2,21,4,0,2,37,0.27,0.324,0.37,0.694
99,"Kyle
                                                                        Tyler",Kyle Tyler,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Kyle Tyler (SPR),Fr,IF,55,No,10,0,2,2,0,0,26.33,100,19,6.49,18,14,23,7.86,21,7.18,0.91,4.78,1.59,6.05,-1.27,111,89,12,5,0,0,0,14,5,0,0,24,0.19,0.367,0.24,0.607
39,"Billy
                                                                        Nowakowski",Billy Nowakowski,Champion City Kings,0.956,Eastern,Northeast,CCY,Billy Nowakowski (CCY),Jr,RHP,56,No,6,3,2,1,1,0,26,97,23,7.96,15,12,9,3.12,11,3.81,1.22,4.15,1.23,6.26,-2.11,132,75,0,1,0,3,0,15,5,0,3,37,0.237,0.3,0.381,0.681
22,"Tanner
                                                                        Paschke",Tanner Paschke,Alton River Dragons,1.06,Western,South,ALT,Tanner Paschke (ALT),Fr,RHP,53,No,14,4,2,0,0,0,26,96,19,6.58,15,9,17,5.88,31,10.73,1.82,3.12,1.38,5.07,-1.95,195,51,4,9,0,1,1,15,4,0,0,23,0.198,0.366,0.24,0.605
30,"Austin
                                                                        Morris",Austin Morris,Danville Dans,0.869,Eastern,Central,DAN,Austin Morris (DAN),Fr,RHP,56,No,13,0,1,1,6,0,26,98,20,6.92,10,9,11,3.81,36,12.46,3.27,3.12,1.19,4.03,-0.91,160,61,4,5,0,0,0,11,7,1,1,32,0.204,0.316,0.327,0.642
19,"Aidan
                                                                        Adams",Aidan Adams,Alton River Dragons,1.06,Western,South,ALT,Aidan Adams (ALT),Fr,RHP,53,No,19,0,1,4,0,0,25.67,108,37,12.97,27,23,18,6.31,12,4.21,0.67,8.06,2.14,7.33,0.73,76,132,1,6,0,2,0,27,7,1,2,52,0.343,0.455,0.481,0.937
18,"Jesse
                                                                        Komoroski",Jesse Komoroski,Cape Catfish,1.049,Western,South,CGR,Jesse Komoroski (CGR),Jr,RHP,55,No,11,4,2,1,0,0,25.67,96,23,8.06,11,7,12,4.21,20,7.01,1.67,2.45,1.36,6.05,-3.6,246,40,2,2,0,1,0,12,7,1,3,41,0.24,0.333,0.427,0.76
13,"Ty
                                                                        Bradle",Ty Bradle,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Ty Bradle (LAF),Fr,RHP,56,No,11,3,1,5,1,0,25.67,95,25,8.77,24,22,22,7.71,26,9.12,1.18,7.71,1.83,5.62,2.09,80,125,6,1,0,3,0,19,4,1,1,34,0.263,0.397,0.358,0.755
29,"Kaleb
                                                                        Marrs",Kaleb Marrs,REX Baseball,1.071,Eastern,Central,TER,Kaleb Marrs (TER),Fr,RHP,55,No,8,6,0,2,1,0,25.67,93,19,6.66,20,16,19,6.66,24,8.42,1.26,5.61,1.48,7.18,-1.57,110,91,1,3,0,2,0,10,5,0,4,36,0.204,0.35,0.387,0.738
99,"David
                                                                        Andolina",David Andolina,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,David Andolina (IVY),So,RHP,56,No,8,4,2,0,1,0,25.67,94,22,7.71,19,12,16,5.61,40,14.03,2.5,4.21,1.48,5.42,-1.21,149,67,1,6,0,2,0,14,3,2,3,38,0.234,0.373,0.404,0.777
25,"Sam
                                                                        Cardwell",Sam Cardwell,O'Fallon Hoots,1.04,Western,South,OFL,Sam Cardwell (OFL),Fr,RHP,56,No,12,3,3,3,1,0,25.67,111,36,12.62,33,30,14,4.91,33,11.57,2.36,10.52,1.95,5.23,5.29,57,176,1,6,0,0,0,28,5,1,2,49,0.324,0.427,0.441,0.869
14,"Will
                                                                        Knapp",Will Knapp,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Will Knapp (SPR),Fr,RHP,55,No,7,2,2,1,0,0,25.67,96,25,8.77,15,12,18,6.31,17,5.96,0.94,4.21,1.68,6.4,-2.19,127,79,3,10,1,1,0,18,7,0,0,32,0.26,0.424,0.333,0.757
17,"Jordan
                                                                        Riley",Jordan Riley,Cape Catfish,1.049,Western,South,CGR,Jordan Riley (CGR),Fr,RHP,55,No,14,0,2,1,0,0,25.33,88,13,4.62,9,6,6,2.13,38,13.5,6.33,2.13,0.75,3.54,-1.41,283,35,3,3,0,1,0,7,3,1,2,24,0.148,0.224,0.273,0.497
1,"Nate
                                                                        Miller",Nate Miller,Champion City Kings,0.956,Eastern,Northeast,CCY,Nate Miller (CCY),Jr,C,56,No,18,1,1,1,2,0,25,97,26,9.36,19,13,9,3.24,22,7.92,2.44,4.68,1.4,5.01,-0.33,117,85,1,6,0,4,0,21,4,0,1,33,0.268,0.353,0.34,0.694
24,"Chase
                                                                        Carver",Chase Carver,Dubois County Bombers,0.908,Eastern,Central,DUB,Chase Carver (DUB),Fr,RHP,54,No,10,3,1,3,0,0,25,104,30,10.8,30,27,19,6.84,17,6.12,0.89,9.72,1.96,6.37,3.35,54,184,8,4,0,0,1,22,6,1,1,41,0.288,0.417,0.394,0.812
99,"George
                                                                        Henkel",George Henkel,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,George Henkel (JNT),So,RHP,56,No,6,5,2,0,0,0,25,89,16,5.76,9,8,12,4.32,19,6.84,1.58,2.88,1.12,5.33,-2.45,174,56,4,8,1,1,0,13,3,0,0,19,0.18,0.327,0.213,0.541
99,"Jackson
                                                                        Wohlers",Jackson Wohlers,Burlington Bees,1.081,Western,Northwest,BRL,Jackson Wohlers (BRL),Fr,RHP,56,No,7,7,0,3,0,0,24.33,96,23,8.51,23,21,15,5.55,28,10.36,1.87,7.77,1.56,5.85,1.92,80,124,5,15,1,0,0,18,5,0,0,28,0.24,0.421,0.292,0.712
16,"Liam
                                                                        Royster",Liam Royster,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Liam Royster (JNT),So,RHP,56,No,12,1,3,1,0,0,24.33,95,23,8.51,16,12,14,5.18,13,4.81,0.93,4.44,1.52,6.26,-1.82,113,87,5,5,0,0,0,21,1,0,1,27,0.242,0.368,0.284,0.653
99,"William
                                                                        Ho",William Ho,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,William Ho (SPR),Fr,RHP,55,No,7,3,0,1,0,0,24.33,99,29,10.73,16,15,11,4.07,19,7.03,1.73,5.55,1.64,4.62,0.93,96,104,0,3,0,1,0,21,7,1,0,38,0.293,0.377,0.384,0.761
49,"Harrison
                                                                        Dubois",Harrison Dubois,Alton River Dragons,1.06,Western,South,ALT,Harrison Dubois (ALT),Jr,RHP,53,No,16,0,0,3,8,0,24,93,23,8.63,24,16,12,4.5,24,9,2,6,1.46,4.99,1.01,102,98,2,4,1,2,1,16,6,0,1,32,0.247,0.351,0.344,0.695
9,"Bryson
                                                                        Brown",Bryson Brown,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Bryson Brown (CHI),So,RHP,56,No,13,1,1,0,0,0,24,87,23,8.63,23,19,16,6,11,4.13,0.69,7.13,1.63,6.53,0.6,112,76,5,8,0,6,0,12,10,1,0,35,0.264,0.402,0.402,0.804
22,"Shea
                                                                        Blanchard",Shea Blanchard,Burlington Bees,1.081,Western,Northwest,BRL,Shea Blanchard (BRL),Fr,RHP,56,No,8,7,2,4,0,0,24,98,30,11.25,39,37,28,10.5,15,5.63,0.54,13.88,2.42,8.99,4.89,45,222,4,1,0,2,0,20,5,1,4,49,0.306,0.457,0.5,0.957
19,"Brenden
                                                                        Martin",Brenden Martin,Clinton LumberKings,0.987,Western,Northwest,CLN,Brenden Martin (CLN),Fr,RHP,54,No,7,6,1,1,0,0,24,87,17,6.38,8,8,18,6.75,19,7.13,1.06,3,1.46,6.16,-3.16,189,53,2,4,0,1,0,11,4,1,1,26,0.195,0.355,0.299,0.653
8,"Daniel
                                                                        Strohm",Daniel Strohm,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Daniel Strohm (IVY),Fr,LHP,56,No,10,5,1,3,0,0,24,93,22,8.25,26,20,27,10.13,20,7.5,0.74,7.5,2.04,7.78,-0.28,84,119,2,0,0,2,0,18,1,0,3,32,0.237,0.402,0.344,0.746
99,"Jacob
                                                                        Sjuts",Jacob Sjuts,Burlington Bees,1.081,Western,Northwest,BRL,Jacob Sjuts (BRL),So,RHP,56,No,7,5,0,2,0,0,23.67,97,26,9.89,18,11,8,3.04,17,6.46,2.13,4.18,1.44,4.58,-0.4,149,67,4,0,0,2,1,21,4,0,1,33,0.268,0.318,0.34,0.658
99,"Blaine
                                                                        Albright",Blaine Albright,Thrillville Thrillbillies,0.966,Western,South,THR,Blaine Albright (THR),Fr,LHP,54,No,7,7,0,3,0,0,23.67,93,26,9.89,23,21,18,6.84,27,10.27,1.5,7.99,1.86,5.76,2.23,70,144,5,6,0,2,0,18,7,0,1,36,0.28,0.42,0.387,0.807
26,"Landen
                                                                        Ray",Landen Ray,REX Baseball,1.071,Eastern,Central,TER,Landen Ray (TER),So,RHP,55,No,14,2,2,1,2,0,23.33,95,29,11.19,24,18,11,4.24,13,5.01,1.18,6.94,1.71,5.69,1.25,89,112,1,3,2,2,0,20,6,2,1,42,0.305,0.387,0.442,0.829
14,"Jeffrey
                                                                        Behrends",Jeffrey Behrends,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Jeffrey Behrends (IVY),Jr,LHP,56,No,11,0,3,1,1,0,23.33,81,21,8.1,17,14,18,6.94,23,8.87,1.28,5.4,1.67,5.44,-0.04,116,86,0,5,0,2,1,17,4,0,0,25,0.259,0.415,0.309,0.724
36,"Will
                                                                        Melby, Jr.","Will Melby, Jr.",Danville Dans,0.869,Eastern,Central,DAN,"Will Melby, Jr. (DAN)",Jr,RHP,56,No,15,1,1,2,0,0,23,98,33,12.91,28,22,18,7.04,22,8.61,1.22,8.61,2.22,8.62,-0.01,58,169,5,7,0,1,2,22,6,0,5,54,0.337,0.468,0.551,1.019
8,"Andrew
                                                                        Perry",Andrew Perry,Full Count Rhythm,1.031,Eastern,Central,FCR,Andrew Perry (FCR),Fr,LHP,55,No,13,2,1,1,0,0,23,94,27,10.57,19,19,17,6.65,28,10.96,1.65,7.43,1.91,4.49,2.94,80,125,7,2,1,2,0,18,7,2,0,38,0.287,0.4,0.404,0.804
99,"Peter
                                                                        Underwood",Peter Underwood,O'Fallon Hoots,1.04,Western,South,OFL,Peter Underwood (OFL),Fr,RHP,56,No,5,5,1,1,0,0,23,89,21,8.22,14,10,7,2.74,20,7.83,2.86,3.91,1.22,5.45,-1.54,153,65,2,1,0,0,1,14,3,1,3,35,0.236,0.299,0.393,0.692
8,"Connor
                                                                        Roark",Connor Roark,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Connor Roark (SPR),So,RHP,55,No,13,0,1,1,0,0,23,106,36,14.09,37,32,15,5.87,8,3.13,0.53,12.52,2.22,9.97,2.55,43,234,6,11,0,1,0,22,9,0,5,60,0.34,0.466,0.566,1.032
34,"Erik
                                                                        Kiewiet",Erik Kiewiet,Burlington Bees,1.081,Western,Northwest,BRL,Erik Kiewiet (BRL),Jr,RHP,56,No,16,0,1,1,0,0,22.67,93,26,10.32,23,17,18,7.15,20,7.94,1.11,6.75,1.94,6.7,0.05,92,108,7,8,0,0,0,18,7,0,1,36,0.28,0.437,0.387,0.824
99,"Meade
                                                                        Johnson",Meade Johnson,Danville Dans,0.869,Eastern,Central,DAN,Meade Johnson (DAN),Jr,RHP,56,No,5,5,0,2,0,0,22.67,69,20,7.94,10,8,10,3.97,31,12.31,3.1,3.18,1.32,4.58,-1.4,157,63,2,3,0,0,0,15,2,1,2,30,0.29,0.402,0.435,0.837
12,"Jake
                                                                        Stuteville",Jake Stuteville,Dubois County Bombers,0.908,Eastern,Central,DUB,Jake Stuteville (DUB),Jr,RHP,54,No,14,0,2,1,5,0,22.67,82,17,6.75,12,7,13,5.16,15,5.96,1.15,2.78,1.32,5.82,-3.04,188,53,1,3,0,2,1,11,5,0,1,25,0.207,0.33,0.305,0.635
22,"Zach
                                                                        O'Donnell",Zach O'Donnell,Normal CornBelters,0.884,Eastern,Central,NOR,Zach O'Donnell (NOR),So,LHP,54,No,24,0,1,2,0,0,22.67,85,21,8.34,24,15,14,5.56,24,9.53,1.71,5.96,1.54,5.73,0.23,85,116,6,3,0,2,1,18,1,0,2,28,0.247,0.365,0.329,0.695
99,"Kamden
                                                                        Croghan",Kamden Croghan,Jackson Rockabillys,0.871,Western,South,JAX,Kamden Croghan (JAX),FR,RHP,55,No,14,0,3,1,0,0,22.67,97,31,12.31,30,28,15,5.96,23,9.13,1.53,11.12,2.03,5.07,6.05,45,218,7,5,0,1,0,22,8,1,0,41,0.32,0.432,0.423,0.855
2,"Sam
                                                                        Lavin",Sam Lavin,Clinton LumberKings,0.987,Western,Northwest,CLN,Sam Lavin (CLN),Sr,RHP,54,No,15,0,3,1,7,0,22.33,78,16,6.45,5,1,11,4.43,36,14.51,3.27,0.4,1.21,2.97,-2.57,1419,7,1,2,0,2,0,14,2,0,0,18,0.205,0.312,0.231,0.543
18,"Evan
                                                                        Chung",Evan Chung,REX Baseball,1.071,Eastern,Central,TER,Evan Chung (TER),So,RHP,55,No,13,1,4,2,0,0,22.33,80,18,7.25,17,14,22,8.87,9,3.63,0.41,5.64,1.79,7.14,-1.5,109,91,0,4,0,2,1,14,4,0,0,22,0.225,0.407,0.275,0.682
70,"Daniel
                                                                        Castro",Daniel Castro,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Daniel Castro (IVY),Jr,RHP,56,No,11,0,1,1,4,0,22.33,85,23,9.27,10,10,4,1.61,21,8.46,5.25,4.03,1.21,3.82,0.21,155,64,1,1,0,2,0,21,1,0,1,27,0.271,0.304,0.318,0.622
38,"Barrett
                                                                        Lohman",Barrett Lohman,O'Fallon Hoots,1.04,Western,South,OFL,Barrett Lohman (OFL),So,RHP,56,No,6,5,1,0,0,0,22.33,77,14,5.64,2,2,5,2.02,27,10.88,5.4,0.81,0.85,2.84,-2.03,739,14,2,1,0,1,0,13,1,0,0,15,0.182,0.238,0.195,0.433
99,"Chet
                                                                        Lax",Chet Lax,Full Count Rhythm,1.031,Eastern,Central,FCR,Chet Lax (FCR),Fr,LHP,55,No,4,4,2,0,0,0,22,85,19,7.77,6,6,4,1.64,22,9,5.5,2.45,1.05,4.18,-1.73,242,41,4,0,0,0,0,13,4,0,2,29,0.224,0.258,0.341,0.6
32,"Jack
                                                                        Harris",Jack Harris,Dubois County Bombers,0.908,Eastern,Central,DUB,Jack Harris (DUB),Fr,RHP,54,No,12,0,2,0,0,0,21.67,89,22,9.14,17,11,13,5.4,21,8.72,1.62,4.57,1.62,5.47,-0.9,114,87,3,4,1,2,1,15,5,1,1,32,0.247,0.361,0.36,0.721
2,"Tyler
                                                                        Altenbaumer",Tyler Altenbaumer,Normal CornBelters,0.884,Eastern,Central,NOR,Tyler Altenbaumer (NOR),So,RHP,54,No,21,1,1,1,0,0,21.67,101,39,16.2,33,27,15,6.23,24,9.97,1.6,11.22,2.49,6.99,4.23,45,218,5,2,0,2,0,27,5,3,4,62,0.386,0.467,0.614,1.081
39,"Drake
                                                                        Downing",Drake Downing,Normal CornBelters,0.884,Eastern,Central,NOR,Drake Downing (NOR),Jr,RHP,54,No,6,6,0,4,0,0,21.67,89,27,11.21,21,18,17,7.06,17,7.06,1,7.48,2.03,6.53,0.95,68,145,3,5,0,2,1,17,8,1,1,40,0.303,0.434,0.449,0.883
40,"Landen
                                                                        Vance",Landen Vance,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Landen Vance (CHI),So,RHP,56,No,15,2,5,1,0,0,21.33,95,32,13.5,20,16,12,5.06,10,4.22,0.83,6.75,2.06,6.47,0.28,118,72,2,9,0,1,1,21,10,1,0,44,0.337,0.453,0.463,0.916
99,"Jack
                                                                        Surdey",Jack Surdey,Clinton LumberKings,0.987,Western,Northwest,CLN,Jack Surdey (CLN),Fr,RHP,54,No,5,5,2,1,0,0,21.33,86,27,11.39,16,11,7,2.95,19,8.02,2.71,4.64,1.59,5.25,-0.61,122,82,2,7,0,1,0,23,2,1,1,34,0.314,0.406,0.395,0.801
40,"Kyle
                                                                        Lambert",Kyle Lambert,Jackson Rockabillys,0.871,Western,South,JAX,Kyle Lambert (JAX),So,RHP,55,No,7,3,1,3,0,0,21.33,93,32,13.5,20,20,16,6.75,13,5.48,0.81,8.44,2.25,6.79,1.65,59,166,4,5,3,1,0,24,7,0,1,42,0.344,0.461,0.452,0.912
27,"Mac
                                                                        Yarbrough",Mac Yarbrough,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Mac Yarbrough (JNT),So,LHP,56,No,17,1,1,0,4,0,21,70,8,3.43,10,7,24,10.29,33,14.14,1.38,3,1.52,5.45,-2.45,167,59,7,5,0,0,1,4,3,1,0,13,0.114,0.374,0.186,0.559
43,"Ryan
                                                                        Sell",Ryan Sell,O'Fallon Hoots,1.04,Western,South,OFL,Ryan Sell (OFL),Jr,LHP,56,No,7,4,0,1,0,0,21,83,22,9.43,20,17,17,7.29,23,9.86,1.35,7.29,1.86,6.31,0.98,82,122,3,7,1,0,1,14,5,2,1,34,0.265,0.43,0.41,0.84
57,"Bryce
                                                                        Kemper",Bryce Kemper,Cape Catfish,1.049,Western,South,CGR,Bryce Kemper (CGR),Fr,RHP,55,No,13,0,1,1,0,0,20.67,81,19,8.27,18,16,18,7.84,15,6.53,0.83,6.97,1.79,7.31,-0.34,87,115,4,3,2,1,1,17,0,0,2,25,0.235,0.388,0.309,0.697
